Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.84     0.00       47     0.00     0.00  decltype (::new ((void*)(0)) unsigned long((declval<unsigned long>)())) std::construct_at<unsigned long, unsigned long>(unsigned long*, unsigned long&&)
  0.00      0.84     0.00       46     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator-(long) const
  0.00      0.84     0.00       46     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*, unsigned long)
  0.00      0.84     0.00       45     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, void>::__normal_iterator(unsigned long* const&)
  0.00      0.84     0.00       44     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::empty() const
  0.00      0.84     0.00       43     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.84     0.00       43     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      0.84     0.00       43     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      0.84     0.00       42     0.00     0.00  UnsignedBigInt::operator+=(unsigned long const&)
  0.00      0.84     0.00       40     0.00     0.00  UnsignedBigInt::set_bit(unsigned long, bool)
  0.00      0.84     0.00       40     0.00     0.00  UnsignedBigInt::operator*=(unsigned long const&)
  0.00      0.84     0.00       39     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_deallocate(unsigned long*, unsigned long)
  0.00      0.84     0.00       39     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.84     0.00       37     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.84     0.00       37     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::substr(unsigned long, unsigned long) const
