Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.02     0.00       80     0.00     0.00  std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()>&& std::forward<std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()> >(std::remove_reference<std::_Bind<encrypt_input(std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)::{lambda()#1} ()> >::type&)
  0.00      0.02     0.00       77     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_replace_aux(unsigned long, unsigned long, unsigned long, char)
  0.00      0.02     0.00       76     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::append(unsigned long, char)
  0.00      0.02     0.00       73     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00      0.02     0.00       71     0.00     0.00  UnsignedBigInt::most_significant_bit_idx() const
  0.00      0.02     0.00       69     0.00     0.00  std::deque<std::function<void ()>, std::allocator<std::function<void ()> > >::empty() const
  0.00      0.02     0.00       69     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  0.00      0.02     0.00       69     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  0.00      0.02     0.00       69     0.00     0.00  std::operator==(std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&, std::_Deque_iterator<std::function<void ()>, std::function<void ()>&, std::function<void ()>*> const&)
  0.00      0.02     0.00       68     0.00     0.00  std::queue<std::function<void ()>, std::deque<std::function<void ()>, std::allocator<std::function<void ()> > > >::empty() const
  0.00      0.02     0.00       65     0.00     0.00  ThreadPool::ThreadPool(unsigned long)::{lambda()#1}::operator()() const::{lambda()#1}::operator()() const
  0.00      0.02     0.00       64     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      0.02     0.00       64     0.00     0.00  std::thread::joinable() const
  0.00      0.02     0.00       64     0.00     0.00  std::operator==(std::thread::id, std::thread::id)
  0.00      0.02     0.00       63     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::__normal_iterator(std::thread* const&)
  0.00      0.02     0.00       63     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator() const
  0.00      0.02     0.00       62     0.00     0.00  std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()
  0.00      0.02     0.00       62     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::end()
  0.00      0.02     0.00       61     0.00     0.00  std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)
  0.00      0.02     0.00       61     0.00     0.00  std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       61     0.00     0.00  std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       61     0.00     0.00  std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)
  0.00      0.02     0.00       60     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::operator*() const
  0.00      0.02     0.00       60     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::max_size() const
  0.00      0.02     0.00       60     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
  0.00      0.02     0.00       59     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_max_size(std::allocator<unsigned long> const&)
  0.00      0.02     0.00       56     0.00     0.00  std::_Vector_base<unsigned long, std::allocator<unsigned long> >::_M_get_Tp_allocator()
  0.00      0.02     0.00       56     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.02     0.00       55     0.00     0.00  UnsignedBigInt::operator*=(UnsignedBigInt const&)
  0.00      0.02     0.00       55     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.02     0.00       54     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::size() const
  0.00      0.02     0.00       53     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<unsigned long, void>::value, unsigned long*>::type std::__relocate_a_1<unsigned long, unsigned long>(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.02     0.00       51     0.00     0.00  unsigned long* std::__relocate_a<unsigned long*, unsigned long*, std::allocator<unsigned long> >(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.02     0.00       49     0.00     0.00  std::__cxx11::to_string(unsigned long)
  0.00      0.02     0.00       48     0.00     0.00  UnsignedBigInt::operator*=(unsigned long const&)
  0.00      0.02     0.00       48     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::_S_relocate(unsigned long*, unsigned long*, unsigned long*, std::allocator<unsigned long>&)
  0.00      0.02     0.00       47     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned long>(char*, unsigned int, unsigned long)
  0.00      0.02     0.00       45     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator-(long) const
  0.00      0.02     0.00       45     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned long>(unsigned long, int)
  0.00      0.02     0.00       44     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const
  0.00      0.02     0.00       44     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const
  0.00      0.02     0.00       44     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.02     0.00       43     0.00     0.00  unsigned long& std::vector<unsigned long, std::allocator<unsigned long> >::emplace_back<unsigned long>(unsigned long&&)
  0.00      0.02     0.00       42     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.02     0.00       42     0.00     0.00  decltype (::new ((void*)(0)) unsigned long((declval<unsigned long>)())) std::construct_at<unsigned long, unsigned long>(unsigned long*, unsigned long&&)
  0.00      0.02     0.00       40     0.00     0.00  __gthread_mutex_unlock(pthread_mutex_t*)
  0.00      0.02     0.00       40     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::length() const
  0.00      0.02     0.00       40     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      0.02     0.00       40     0.00     0.00  std::mutex::unlock()
  0.00      0.02     0.00       40     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&)
  0.00      0.02     0.00       39     0.00     0.00  UnsignedBigInt::least_significant_bit() const
  0.00      0.02     0.00       39     0.00     0.00  std::unique_lock<std::mutex>::lock()
  0.00      0.02     0.00       39     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.02     0.00       39     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      0.02     0.00       39     0.00     0.00  std::remove_reference<unsigned long&>::type&& std::move<unsigned long&>(unsigned long&)
  0.00      0.02     0.00       38     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  0.00      0.02     0.00       38     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.02     0.00       38     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      0.02     0.00       38     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.02     0.00       37     0.00     0.00  __gthread_mutex_lock(pthread_mutex_t*)
  0.00      0.02     0.00       37     0.00     0.54  UnsignedBigInt::operator%=(UnsignedBigInt const&)
  0.00      0.02     0.00       37     0.00     0.00  std::unique_lock<std::mutex>::unlock()
  0.00      0.02     0.00       37     0.00     0.00  std::mutex::lock()
  0.00      0.02     0.00       37     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::back()
  0.00      0.02     0.00       37     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::operator+=(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.02     0.00       36     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::data() const
  0.00      0.02     0.00       36     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*, unsigned long)
  0.00      0.02     0.00       35     0.00     0.00  UnsignedBigInt::operator<<=(unsigned long const&)
  0.00      0.02     0.00       35     0.00     0.00  UnsignedBigInt::operator+=(unsigned long const&)
  0.00      0.02     0.00       35     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)::_Guard::_Guard(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.02     0.00       34     0.00     0.00  std::function<void ()>::~function()
